STATEFP,COUNTYFP,STATE,COUNTY,POP,R,D,TOTAL
26,109,Michigan,Menominee County,22608,8117,4316,12607
26,111,Michigan,Midland County,83441,27675,20493,49088
26,113,Michigan,Missaukee County,15152,6648,1967,8755
26,115,Michigan,Monroe County,150568,52710,32975,87148
26,117,Michigan,Montcalm County,63476,21815,9703,32100
26,119,Michigan,Montmorency County,9337,4171,1628,5859
26,121,Michigan,Muskegon County,173883,45133,45643,92444
26,123,Michigan,Newaygo County,49348,18857,7873,27161
26,125,Michigan,Oakland County,1253459,325971,434148,770351
26,127,Michigan,Oceana County,26819,8892,4944,14062
26,129,Michigan,Ogemaw County,20923,8253,3475,11907
26,131,Michigan,Ontonagon County,5656,2358,1391,3804
26,133,Michigan,Osceola County,23466,8928,3214,12329
26,135,Michigan,Oscoda County,8368,3466,1342,4874
26,137,Michigan,Otsego County,24765,9779,4743,14757
26,139,Michigan,Ottawa County,294635,100913,64705,168713
26,141,Michigan,Presque Isle County,12665,5342,2911,8344
26,143,Michigan,Roscommon County,23986,9670,5166,15018
26,145,Michigan,Saginaw County,189868,50785,51088,103349
26,147,Michigan,St. Clair County,159293,59185,31363,92064
26,149,Michigan,St. Joseph County,60848,18127,9262,27936
26,151,Michigan,Sanilac County,40747,16194,5966,22446
26,153,Michigan,Schoolcraft County,8104,3090,1589,4745
26,155,Michigan,Shiawassee County,67738,23149,15347,39224
26,157,Michigan,Tuscola County,52289,20297,8712,29445
26,159,Michigan,Van Buren County,75474,21591,16803,39066
26,161,Michigan,Washtenaw County,366473,56241,157136,216418
26,163,Michigan,Wayne County,1740623,264553,597170,872469
26,165,Michigan,Wexford County,33743,12102,5838,18265
27,1,Minnesota,Aitkin County,15848,6258,3607,10025
27,3,Minnesota,Anoka County,359921,104902,100893,211132
27,5,Minnesota,Becker County,34456,12438,6589,19401
27,7,Minnesota,Beltrami County,47442,12188,11426,24189
27,9,Minnesota,Benton County,40958,14382,7280,22260
27,11,Minnesota,Big Stone County,4923,1863,1053,2974
27,13,Minnesota,Blue Earth County,68241,16731,18330,36051
27,15,Minnesota,Brown County,24846,9552,4753,14635
27,17,Minnesota,Carlton County,35769,9791,10098,20369
27,19,Minnesota,Carver County,106565,34009,30774,66361
27,21,Minnesota,Cass County,29928,11620,6342,18289
27,23,Minnesota,Chippewa County,11758,4250,2226,6611
27,25,Minnesota,Chisago County,56794,21916,11806,34570
27,27,Minnesota,Clay County,64690,15043,16357,32239
27,29,Minnesota,Clearwater County,9017,3372,1260,4708
27,31,Minnesota,Cook County,5417,1203,2496,3806
27,33,Minnesota,Cottonwood County,11242,4165,1834,6107
27,35,Minnesota,Crow Wing County,65644,25676,13726,40173
27,37,Minnesota,Dakota County,431807,109638,146155,262259
27,39,Minnesota,Dodge County,20987,7783,4079,12187
27,41,Minnesota,Douglas County,38328,15799,7868,24165
27,43,Minnesota,Faribault County,13601,5191,2531,7914
27,45,Minnesota,Fillmore County,21135,7301,4551,12141
27,47,Minnesota,Freeborn County,30364,9578,6889,16818
27,49,Minnesota,Goodhue County,46318,16052,11806,28636
27,51,Minnesota,Grant County,6026,2269,1300,3654
27,53,Minnesota,Hennepin County,1268408,205973,532623,755969
27,55,Minnesota,Houston County,18632,6334,4853,11440
